account_id,client_id,account_type,status,open_date,last_active_date,default_currency
A0001,C001,business,active,2023-04-19,2023-02-27,EUR
A0002,C002,business,active,2020-11-12,2021-02-23,EUR
A0003,C003,checking,active,2021-07-07,2022-04-24,USD
A0004,C004,savings,active,2021-12-02,2022-08-04,EUR
A0005,C005,business,active,2019-07-21,2022-10-09,USD
A0006,C005,business,active,2020-06-11,2021-05-23,USD
A0007,C006,checking,active,2019-06-10,2024-01-25,USD
A0008,C007,savings,active,2019-10-18,2021-09-27,USD
A0009,C008,business,active,2019-01-30,2023-04-14,USD
A0010,C008,checking,active,2019-07-06,2023-07-11,GBP
A0011,C008,checking,active,2019-02-10,2021-10-30,GBP
A0012,C009,business,active,2021-12-18,2022-11-25,GBP
A0013,C009,savings,active,2022-09-04,2022-10-28,USD
A0014,C010,business,active,2019-01-29,2019-07-20,USD
A0015,C010,checking,active,2020-04-30,2023-04-08,KZT
A0016,C011,checking,active,2022-01-25,2022-03-24,KZT
A0017,C011,checking,active,2022-12-04,2023-10-01,EUR
A0018,C011,savings,active,2021-12-27,2024-02-11,USD
A0019,C012,business,active,2023-04-12,2023-11-25,USD
A0020,C012,checking,active,2023-09-05,2024-04-03,USD
A0021,C012,savings,active,2019-05-28,2022-07-03,KZT
A0022,C013,checking,active,2020-03-01,2021-05-08,USD
A0023,C013,savings,active,2020-03-14,2022-02-18,EUR
A0024,C013,business,active,2023-03-24,2024-04-25,USD
A0025,C014,checking,active,2021-08-20,2022-08-19,USD
A0026,C014,checking,active,2023-03-19,2023-07-25,KZT
A0027,C014,business,active,2020-02-16,2024-05-27,EUR
A0028,C015,business,active,2021-08-25,2023-04-08,USD
A0029,C015,savings,active,2022-09-30,2024-01-13,EUR
A0030,C016,checking,active,2021-04-26,2023-11-16,USD
A0031,C016,savings,active,2021-04-09,2022-04-21,USD
A0032,C017,checking,active,2020-05-17,2023-12-06,GBP
A0033,C017,savings,active,2019-09-18,2021-02-10,USD
A0034,C017,checking,active,2022-10-23,2023-04-21,USD
A0035,C018,checking,active,2020-07-01,2020-12-27,GBP
A0036,C018,savings,active,2020-09-12,2021-11-14,USD
A0037,C019,savings,active,2022-07-23,2023-01-20,USD
A0038,C019,business,active,2019-09-19,2024-02-12,GBP
A0039,C020,business,active,2022-12-09,2024-02-23,USD
A0040,C021,business,active,2020-10-19,2022-04-12,USD
A0041,C022,savings,active,2019-06-07,2022-02-12,KZT
A0042,C023,business,active,2022-02-23,2024-05-06,EUR
A0043,C023,checking,active,2019-11-22,2022-10-20,KZT
A0044,C023,savings,active,2021-06-04,2022-05-25,USD
A0045,C024,business,active,2019-09-17,2021-03-06,USD
A0046,C024,checking,active,2019-07-26,2022-07-27,USD
