tx_id,rule_id,relation
T0001,AML_THRESHOLD,violates
T0177,SANCTIONS,compliant
T0100,STRUCTURING,violates
T0101,STRUCTURING,violates
T0099,STRUCTURING,violates
T0102,STRUCTURING,violates
T0245,KYC_EXPIRED,compliant
T0285,HIGH_RISK_JURISDICTION,compliant
T0362,DORMANT_REACTIVATION,violates
T0006,AML_THRESHOLD,violates
T0103,STRUCTURING,violates
T0171,SANCTIONS,compliant
T0028,AML_THRESHOLD,violates
T0075,AML_THRESHOLD,compliant
T0229,KYC_EXPIRED,compliant
T0231,KYC_EXPIRED,compliant
T0203,KYC_EXPIRED,violates
T0189,SANCTIONS,compliant
T0284,HIGH_RISK_JURISDICTION,compliant
T0407,ROUND_NUMBER_ANOMALY,compliant
T0117,STRUCTURING,compliant
T0328,VELOCITY,compliant
T0329,VELOCITY,compliant
T0373,DORMANT_REACTIVATION,compliant
T0410,ROUND_NUMBER_ANOMALY,compliant
T0190,SANCTIONS,compliant
T0142,SANCTIONS,violates
T0247,KYC_EXPIRED,compliant
T0378,DORMANT_REACTIVATION,compliant
T0133,STRUCTURING,compliant
T0222,KYC_EXPIRED,compliant
T0294,HIGH_RISK_JURISDICTION,compliant
T0217,KYC_EXPIRED,violates
T0182,SANCTIONS,compliant
T0326,VELOCITY,compliant
T0327,VELOCITY,compliant
T0420,ROUND_NUMBER_ANOMALY,compliant
T0233,KYC_EXPIRED,compliant
T0124,STRUCTURING,compliant
T0194,KYC_EXPIRED,violates
T0299,HIGH_RISK_JURISDICTION,compliant
T0147,SANCTIONS,violates
T0134,STRUCTURING,compliant
T0165,SANCTIONS,violates
T0242,KYC_EXPIRED,compliant
T0344,VELOCITY,compliant
T0345,VELOCITY,compliant
T0346,VELOCITY,compliant
T0238,KYC_EXPIRED,compliant
T0250,KYC_EXPIRED,compliant
T0366,DORMANT_REACTIVATION,violates
T0027,AML_THRESHOLD,violates
T0168,SANCTIONS,violates
T0412,ROUND_NUMBER_ANOMALY,compliant
T0385,DORMANT_REACTIVATION,compliant
T0076,AML_THRESHOLD,compliant
T0384,DORMANT_REACTIVATION,compliant
T0069,AML_THRESHOLD,compliant
T0258,HIGH_RISK_JURISDICTION,violates
T0007,AML_THRESHOLD,violates
T0056,AML_THRESHOLD,compliant
T0417,ROUND_NUMBER_ANOMALY,compliant
T0114,STRUCTURING,compliant
T0063,AML_THRESHOLD,compliant
T0214,KYC_EXPIRED,violates
T0044,AML_THRESHOLD,compliant
T0011,AML_THRESHOLD,violates
T0042,AML_THRESHOLD,compliant
T0055,AML_THRESHOLD,compliant
T0032,AML_THRESHOLD,violates
T0332,VELOCITY,compliant
T0333,VELOCITY,compliant
T0068,AML_THRESHOLD,compliant
T0014,AML_THRESHOLD,violates
T0022,AML_THRESHOLD,violates
T0034,AML_THRESHOLD,violates
T0223,KYC_EXPIRED,compliant
T0376,DORMANT_REACTIVATION,compliant
T0301,VELOCITY,violates
T0302,VELOCITY,violates
T0303,VELOCITY,violates
T0304,VELOCITY,violates
T0305,VELOCITY,violates
T0306,VELOCITY,violates
T0307,VELOCITY,violates
T0308,VELOCITY,violates
T0309,VELOCITY,violates
T0310,VELOCITY,violates
T0311,VELOCITY,violates
T0312,VELOCITY,violates
T0313,VELOCITY,violates
T0314,VELOCITY,violates
T0045,AML_THRESHOLD,compliant
T0139,STRUCTURING,compliant
T0334,VELOCITY,compliant
T0335,VELOCITY,compliant
T0336,VELOCITY,compliant
T0337,VELOCITY,compliant
T0155,SANCTIONS,violates
T0178,SANCTIONS,compliant
T0291,HIGH_RISK_JURISDICTION,compliant
T0016,AML_THRESHOLD,violates
T0041,AML_THRESHOLD,compliant
T0125,STRUCTURING,compliant
T0036,AML_THRESHOLD,violates
T0187,SANCTIONS,compliant
T0354,DORMANT_REACTIVATION,violates
T0113,STRUCTURING,compliant
T0243,KYC_EXPIRED,compliant
T0296,HIGH_RISK_JURISDICTION,compliant
T0372,DORMANT_REACTIVATION,compliant
T0067,AML_THRESHOLD,compliant
T0279,HIGH_RISK_JURISDICTION,compliant
T0026,AML_THRESHOLD,violates
T0126,STRUCTURING,compliant
T0065,AML_THRESHOLD,compliant
T0206,KYC_EXPIRED,violates
T0270,HIGH_RISK_JURISDICTION,violates
T0367,DORMANT_REACTIVATION,violates
T0393,ROUND_NUMBER_ANOMALY,violates
T0033,AML_THRESHOLD,violates
T0047,AML_THRESHOLD,compliant
T0071,AML_THRESHOLD,compliant
T0230,KYC_EXPIRED,compliant
T0390,DORMANT_REACTIVATION,compliant
T0110,STRUCTURING,violates
T0164,SANCTIONS,violates
T0277,HIGH_RISK_JURISDICTION,compliant
T0380,DORMANT_REACTIVATION,compliant
T0394,ROUND_NUMBER_ANOMALY,violates
T0391,ROUND_NUMBER_ANOMALY,violates
T0392,ROUND_NUMBER_ANOMALY,violates
T0141,SANCTIONS,violates
T0004,AML_THRESHOLD,violates
T0040,AML_THRESHOLD,violates
T0109,STRUCTURING,violates
T0173,SANCTIONS,compliant
T0248,KYC_EXPIRED,compliant
T0330,VELOCITY,compliant
T0331,VELOCITY,compliant
T0038,AML_THRESHOLD,violates
T0152,SANCTIONS,violates
T0382,DORMANT_REACTIVATION,compliant
T0013,AML_THRESHOLD,violates
T0035,AML_THRESHOLD,violates
T0257,HIGH_RISK_JURISDICTION,violates
T0271,HIGH_RISK_JURISDICTION,violates
T0232,KYC_EXPIRED,compliant
T0196,KYC_EXPIRED,violates
T0123,STRUCTURING,compliant
T0150,SANCTIONS,violates
T0188,SANCTIONS,compliant
T0118,STRUCTURING,compliant
T0219,KYC_EXPIRED,violates
T0077,AML_THRESHOLD,compliant
T0130,STRUCTURING,compliant
T0195,KYC_EXPIRED,violates
T0120,STRUCTURING,compliant
T0401,ROUND_NUMBER_ANOMALY,violates
T0148,SANCTIONS,violates
T0377,DORMANT_REACTIVATION,compliant
T0253,HIGH_RISK_JURISDICTION,violates
T0400,ROUND_NUMBER_ANOMALY,violates
T0395,ROUND_NUMBER_ANOMALY,violates
